HP,AMD Ryzen 5 8645HS,GeForce RTX 4050,16,15.6,59070000
Apple,M3,10,16,15.3,94690000
MSI,Core i5-12450H,GeForce RTX 2050,16,15.6,45599000
Lenovo,Core i3-1215U,UHD Graphics,8,15.6,22720000
HP,AMD Ryzen 5 7535HS,AMD Radeon RX 6550M,16,15.6,42700000
asus,Core i3-1315U,UHD Graphics,8,15.6,26950000
Apple,M3 Pro  11,14,8,14.2,105469000
Lenovo,Core i5-1335U,Iris Xe,8,15.6,39660000
Dell,Core i5-1145G7,Iris Xe Graphics,8,13.3,37990000
Lenovo,Core i7-14650HX,GeForce RTX 4060,16,16,112498000
asus,Core i9-13900H,GeForce RTX 3050,16,14,79400000
asus,Core i3-N305,UHD Graphics,8,15.6,22800000
Apple,M2,M2,16,13.3,77199000
HP,Core i7-1355U,GeForce MX570 A,16,15.6,52866000
Lenovo,AMD Ryzen 3 7320U,AMD Radeon 610M,8,15.6,22470000
Lenovo,Core i7-12650H,GeForce RTX 3050,16,15.6,66000000
Lenovo,Core i7-13620H,UHD Graphics,16,15.6,38370000
asus,Core Ultra 7 155U,Arc Graphics,16,13.3,73999000
asus,Core i7-1355U,Iris Xe,8,15.6,34300000
Microsoft,Core i7-1265U,Iris Xe Graphics,16,13,89000000
asus,AMD Ryzen 7 7435HS,GeForce RTX 4050,16,15.6,69790000
Lenovo,Core i3-1215U,UHD Graphics,12,15.6,24600000
asus,AMD Ryzen 9 7940HS,AMD Radeon 780M,16,13.4,83969000
asus,Core i5-13500H,GeForce RTX 2050,16,14,59000000
asus,Core i5-12500H,GeForce RTX 3050,8,17.3,59000000
asus,Core i7-13620H,GeForce RTX 4070,32,15.6,89170000
asus,AMD Ryzen 9 7940HS,GeForce RTX 4050,16,15.6,79300000
Microsoft,Core i5-1235U,Iris Xe Graphics,8,13.5,71599000
asus,Core i5-1335U,Iris Xe,8,15.6,34159000
Lenovo,Core i5-12450HX,GeForce RTX 4050,24,15.6,56990000
asus,Celeron N4500,UHD Graphics,4,14,12660000
asus,Core i3-1215U,UHD Graphics,8,15.6,25870000
Lenovo,Core i9-12900H,GeForce RTX 3070Ti,32,16.0,111000000
Lenovo,Core i7-13650HX,GeForce RTX 4050,32,15.6,73098000
HP,Core i7-13700HX,GeForce RTX 4060,32,16.1,101000000
asus,Core i7-13650HX,GeForce RTX 4050,16,16,85990000
asus,Core Ultra 7 155H,GeForce RTX 4050,16,15.6,84699000
asus,Core i5-12500H,GeForce RTX 3050,16,17.3,51400000
asus,Core i5-1235U,Iris Xe Graphics,16,15.6,32970000
Lenovo,AMD Ryzen 5 7520U,AMD Radeon 610M,8,15.6,23969000
HP,Core i5-12450H,GeForce RTX 3050,16,15.6,45700000
Apple,M3 Max  14,30,36,14.2,278000000
HP,Core i5-12450H,GeForce RTX 3050,16,15.6,47900000
asus,Core i7-13650HX,GeForce RTX 4050,16,16,82299000
asus,Core i5-11300H,GeForce GTX 1650 Max-Q,8,15.6,70798000
Apple,M4 Max,32,36,16.2,249500000
asus,Celeron N4020,UHD Graphics 600,4,15.6,17400000
asus,AMD Ryzen 7 7435HS,GeForce RTX 2050,8,15.6,47470000
Lenovo,Core i3-1305U,UHD Graphics,8,15.6,27249000
Lenovo,Core i7-13650HX,GeForce RTX 4060,16,15.6,76100000
asus,AMD Ryzen 7 7435HS,GeForce RTX 3050,16,15.6,54499000
asus,Core i5-1335U,Iris Xe,12,15.6,33700000
Lenovo,Celeron N4020,UHD Graphics 600,8,15.6,18800000
Microsoft,Core i7-1255U,Iris Xe Graphics,16,13,86199000
Lenovo,Core Ultra 7 155H,Arc Graphics,16,16,57469000
Microsoft,Core i7-1255U,Iris Xe Graphics,16,13.5,78499000
HP,AMD Ryzen 5 8645HS,GeForce RTX 4050,16,15.6,60770000
Lenovo,Core i3-1215U,UHD Graphics,4,15.6,22370000
asus,Core Ultra 9 185H,Arc,16,14,86499000
asus,Core i7-13650HX,GeForce RTX 4060,64,16,109500000
asus,Core i5-1335U,Iris Xe,16,15.6,36900000
asus,Core i5-12500H,GeForce RTX 3050,16,17.3,57999000
asus,AMD Ryzen 5 7520U,AMD Radeon 610M,8,15.6,29770000
asus,Core i7-13620H,GeForce RTX 4060,16,17.3,81469000
asus,AMD Ryzen 9 7940HS,AMD Radeon 780M,16,13.4,73869000
Lenovo,Celeron N4500,UHD Graphics,8,15.6,16490000
asus,Core i3-1315U,UHD Graphics,8,15.6,26440000
Lenovo,Core i7-1355U,Iris Xe,16,15.6,40499000
asus,Core i3-1315U,UHD Graphics,8,15.6,29007000
asus,Core i9-14900HX,GeForce RTX 4090,64,18,362490000
Apple,M4 Pro,16,24,14.2,151999000
Lenovo,AMD Ryzen 5 7520U,AMD Radeon 610M,8,15.6,25700000
HP,AMD Ryzen 7 8845HS,GeForce RTX 4070,16,16.1,84500000
asus,Core i5-1335U,Iris Xe,12,15.6,36199000
asus,AMD Ryzen 9 8945H,GeForce RTX 4070,16,15.6,89500000
Lenovo,Core i5-12450H,GeForce RTX 3050,16,15.6,53500000
Dell,Core i7-1260P,Iris Xe,16,16,90000000
asus,Core i5-1335U,Iris Xe,16,15.6,35169000
Apple,M3,10,8,15.3,92390000
asus,AMD Ryzen 7 7435HS,GeForce RTX 2050,16,15.6,48670000
Microsoft,Core i5-1235U,Iris Xe Graphics,16,13,68299000
MSI,Core i9-13980HX,GeForce RTX 4080,32,17,249500000
HP,Core i7-1355U,GeForce MX570 A,16,15.6,55997000
Lenovo,Core i5-12450HX,GeForce RTX 3050,32,15.6,51900000
Lenovo,AMD Ryzen 7 7730U,AMD Radeon RX Vega 8,8,15.6,33669000
Microsoft,Core i7-1265U,Iris Xe Graphics,16,13,98000000
asus,AMD Ryzen 5 7520U,AMD Radeon 610M,8,15.6,32500000
Lenovo,Celeron N4500,UHD Graphics,4,15.6,15890000
Lenovo,AMD Ryzen 3 7320U,AMD Radeon 610M,8,15.6,22400000
asus,Core i5-1335U,Iris Xe Graphics,16,15.6,34500000
asus,Core i9-14900HX,GeForce RTX 4060,32,18,147000000
Lenovo,AMD Ryzen 7 7730U,AMD Radeon RX Vega 8,8,15.6,29500000
asus,Core i3-1215U,UHD Graphics,16,14,29700000
asus,Core i3-1315U,UHD Graphics,12,15.6,27400000
Acer,Core i7-1255U,GeForce RTX 2050,8,15.6,54740000
